,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,,,
31,San Ramón,Santiago,Metropolitana de Santiago,,San Ramón,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,13,11,4,4,3,2,7,4,5,6,,2,0,4,4,3,2,3,3,3,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,,39,38,45,42,46,56,49,65,65,77,74,68,,4,11,4,2,8,5,6,6,8,7,8,8,,60,49,48,47,62,58,53,63,65,52,82,75,,42,39,40,53,54,38,29,35,44,43,41,42,,22,22,22,20,30,32,22,32,27,22,24,43,,80,76,78,74,77,85,108,92,90,102,93,101,San Ramón,3.426
32,Vitacura,Santiago,Metropolitana de Santiago,,Vitacura,0,0,0,0,0,0,0,0,0,0,0,0,,27,8,1,7,4,0,7,16,4,23,12,14,,0,0,0,1,0,1,2,2,2,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,2,7,12,3,3,4,6,6,5,5,8,9,,0,0,0,0,0,0,0,0,0,1,0,0,,8,6,9,7,13,12,12,12,10,17,19,16,,3,2,4,3,1,3,2,1,4,4,2,3,,10,5,11,11,14,11,13,25,7,15,13,14,,35,24,48,31,41,43,36,47,36,46,50,65,,5,7,12,10,11,4,11,9,7,17,14,14,,110,89,115,72,81,76,122,127,125,103,113,109,Vitacura,2.391
33,Puente Alto,Cordillera,Metropolitana de Santiago,,Puente Alto,0,0,0,0,0,0,0,0,0,0,0,0,,174,64,90,85,72,50,37,54,140,96,84,52,,17,6,29,16,5,2,0,2,9,2,7,5,,0,0,0,0,0,0,0,0,0,0,0,0,,10,7,7,11,8,8,10,6,16,9,10,8,,6,1,9,1,3,3,5,0,1,8,2,5,,355,262,296,316,357,400,337,410,411,402,421,421,,49,50,46,51,31,40,33,51,48,54,68,52,,358,331,355,324,385,375,362,391,390,394,470,454,,274,224,238,213,222,242,195,209,220,295,253,294,,143,119,123,121,105,104,124,119,131,138,159,165,,449,446,463,458,465,455,456,390,443,500,494,577,Puente Alto,20.828
34,Pirque,Cordillera,Metropolitana de Santiago,,Pirque,0,0,0,0,0,0,0,0,0,0,0,0,,16,8,16,3,13,23,27,22,36,43,69,24,,3,0,1,2,2,1,6,6,1,7,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,1,1,1,1,1,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,,11,8,17,12,17,11,26,21,15,22,22,20,,6,0,3,1,2,3,1,5,1,3,5,2,,15,19,17,19,17,20,22,21,20,20,16,28,,23,23,20,20,20,22,31,34,25,41,48,22,,3,2,4,3,2,0,3,5,5,3,6,10,,15,12,15,4,5,9,4,11,9,9,10,10,Pirque,1.301
35,San José de Maipo,Cordillera,Metropolitana de Santiago,,San José de Maipo,0,0,0,0,0,0,0,0,0,0,0,0,,23,7,29,7,8,18,25,24,40,44,27,9,,1,2,5,4,1,3,2,4,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,1,0,2,0,,1,0,1,0,0,0,0,0,0,0,0,0,,20,8,9,13,9,17,14,8,16,13,18,22,,2,0,5,3,3,1,3,1,0,3,5,0,,14,19,19,12,18,32,28,22,23,20,25,29,,26,26,16,8,14,18,23,24,18,21,22,22,,10,6,1,5,6,6,10,6,9,15,7,16,,13,9,16,7,8,8,19,17,17,25,28,34,San José de Maipo,1.281
36,Colina,Chacabuco,Metropolitana de Santiago,,Colina,0,0,0,0,0,0,0,0,0,0,0,0,,30,9,16,4,14,14,6,21,12,9,18,4,,3,1,0,0,2,3,1,5,3,4,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,4,2,4,0,1,0,6,1,5,,1,0,3,0,2,2,1,1,2,0,0,2,,92,71,73,79,103,91,101,126,110,104,112,104,,14,5,19,12,19,16,10,16,21,15,26,23,,90,78,94,68,97,93,112,103,115,106,121,117,,78,65,74,54,74,67,71,72,75,96,79,85,,60,38,44,33,39,39,37,48,52,49,70,60,,140,113,144,131,123,95,95,150,148,122,150,174,Colina,5.821
37,Lampa,Chacabuco,Metropolitana de Santiago,,Lampa,1,0,1,0,0,0,0,0,0,0,0,0,,4,12,32,18,8,5,8,39,25,21,23,5,,1,1,3,3,1,0,1,1,0,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,3,2,3,4,0,0,0,2,,5,3,3,1,1,1,2,5,3,4,6,5,,82,50,67,58,78,76,73,95,69,117,101,101,,10,9,22,14,9,16,8,14,13,12,13,15,,87,67,91,61,100,94,89,89,79,106,98,90,,49,49,44,36,60,44,62,60,66,79,54,67,,38,34,38,29,37,27,45,35,21,44,37,36,,115,109,126,107,126,122,124,128,115,128,122,125,Lampa,4.983
38,Tiltil,Chacabuco,Metropolitana de Santiago,,Tiltil,1,3,1,0,0,0,0,0,0,0,0,0,,18,19,11,8,16,3,1,7,9,12,10,11,,1,0,0,3,0,0,0,0,0,2,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,1,0,,4,6,3,3,7,10,11,10,11,13,21,21,,1,5,0,3,4,3,2,2,3,3,3,3,,10,8,14,10,9,16,14,17,20,15,21,24,,17,11,18,17,15,15,20,10,16,25,16,24,,7,5,7,6,4,3,8,7,6,8,6,12,,7,10,24,11,12,13,17,12,17,12,19,13,Tiltil,922
39,San Bernardo,Maipo,Metropolitana de Santiago,,San Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,,64,22,20,58,16,28,26,55,70,77,47,9,,1,3,3,2,1,3,1,2,7,2,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,,6,3,4,3,2,2,3,2,8,6,6,4,,0,0,2,1,1,2,1,1,0,1,2,0,,191,157,152,190,297,266,236,281,228,236,236,274,,25,31,31,26,26,31,28,28,29,30,23,21,,210,188,204,214,230,235,240,218,262,264,295,252,,168,138,171,136,163,166,168,183,167,226,211,230,,107,86,113,91,92,87,88,119,98,114,133,118,,395,402,533,421,344,342,389,425,403,461,383,542,San Bernardo,14.879
40,Buin,Maipo,Metropolitana de Santiago,,Buin,0,0,0,0,0,0,0,0,0,0,0,0,,17,11,16,11,4,1,2,4,3,8,3,8,,3,4,1,2,2,3,1,3,0,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,3,0,1,1,1,1,2,3,3,,2,1,2,0,0,2,0,1,0,0,2,1,,76,61,67,56,74,60,65,71,61,82,101,80,,8,9,6,7,4,4,8,12,6,8,9,11,,79,66,64,67,89,73,79,74,89,86,87,86,,90,54,78,66,78,75,84,96,96,102,100,94,,32,22,22,25,26,23,28,36,30,49,24,39,,72,65,75,58,77,80,72,88,89,84,98,124,Buin,4.377
41,Calera de Tango,Maipo,Metropolitana de Santiago,,Calera de Tango,0,0,0,0,0,0,0,0,0,0,0,0,,15,1,17,4,1,0,17,3,6,10,12,13,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,2,0,1,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,,16,12,11,11,22,14,12,14,15,12,17,20,,0,3,0,4,1,1,2,0,3,5,3,4,,22,18,15,24,19,23,12,15,17,24,24,25,,18,16,16,15,15,15,26,19,24,23,25,18,,9,11,7,1,4,7,5,6,6,16,10,4,,27,30,25,13,19,13,25,25,26,26,21,38,Calera de Tango,1.150
42,Paine,Maipo,Metropolitana de Santiago,,Paine,0,0,0,0,0,0,0,0,0,0,0,0,,6,11,13,4,1,0,1,1,6,2,1,10,,1,1,2,1,2,0,0,0,0,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,1,1,0,1,1,,39,37,43,37,60,46,40,76,62,58,45,69,,6,9,13,4,2,11,14,7,9,13,7,7,,52,38,50,42,45,54,46,56,41,77,64,55,,45,46,57,43,38,44,39,44,47,57,50,49,,19,16,23,12,12,23,16,16,22,22,19,25,,44,41,47,54,65,40,41,53,52,55,61,62,Paine,2.807
43,Melipilla,Melipilla,Metropolitana de Santiago,,Melipilla,0,0,0,0,0,0,0,0,0,0,0,0,,43,13,21,27,20,14,16,7,19,10,13,11,,8,9,5,4,4,5,3,5,4,3,3,7,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,3,1,0,2,4,2,3,2,5,1,,2,0,1,0,1,0,1,2,1,4,1,1,,123,80,95,65,115,106,120,122,116,113,118,147,,10,8,11,14,15,16,15,14,16,15,21,12,,121,86,99,83,100,93,109,98,122,96,117,125,,118,73,76,57,86,80,93,103,92,92,96,93,,40,48,54,40,41,39,32,32,34,53,50,52,,111,125,125,107,111,109,121,132,142,168,123,106,Melipilla,6.102
44,Alhué,Melipilla,Metropolitana de Santiago,,Alhué,0,0,0,0,0,0,0,0,0,0,0,0,,9,7,2,0,0,0,2,2,3,4,2,3,,8,0,2,4,7,3,3,2,3,11,10,3,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,9,3,5,2,6,0,8,4,8,7,6,5,,1,0,2,0,0,0,1,1,0,0,0,2,,9,6,7,3,3,2,3,13,9,12,10,8,,9,7,9,13,6,8,3,7,8,17,8,6,,1,4,2,1,0,1,2,1,4,2,2,5,,5,4,5,2,0,4,1,0,2,6,5,3,Alhué,408
45,Curacaví,Melipilla,Metropolitana de Santiago,,Curacaví,0,0,0,0,0,0,0,0,0,0,0,0,,22,13,23,0,7,0,3,5,7,7,4,3,,0,2,2,0,1,0,8,0,0,0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,1,0,,2,1,0,0,1,1,0,0,0,0,1,1,,21,18,18,13,24,40,15,23,32,25,28,44,,3,5,6,0,4,9,1,8,6,2,11,7,,30,30,31,22,25,20,33,31,22,40,34,28,,28,23,17,27,23,19,24,32,41,34,22,32,,16,8,11,5,9,4,13,6,12,17,5,12,,19,31,30,16,21,21,19,25,45,39,31,38,Curacaví,1.608
46,María Pinto,Melipilla,Metropolitana de Santiago,,María Pinto,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,3,2,2,2,0,0,4,1,,0,1,6,1,2,0,1,0,2,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,7,3,5,3,9,8,7,17,6,14,11,9,,1,0,0,4,0,0,0,1,1,2,1,4,,17,10,13,2,12,12,3,9,9,8,8,10,,6,9,4,5,2,10,4,9,7,3,14,7,,6,3,3,2,1,2,2,4,6,6,4,8,,10,14,11,3,7,5,3,7,3,11,4,6,María Pinto,472
47,San Pedro,Melipilla,Metropolitana de Santiago,,San Pedro,0,0,0,0,0,0,0,0,0,0,0,0,,8,1,2,1,0,0,0,0,3,0,4,1,,0,1,4,1,3,1,3,1,1,3,4,2,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,9,4,8,6,5,7,7,10,14,10,13,7,,0,2,4,3,2,1,1,0,4,0,0,3,,5,6,4,2,7,8,7,5,9,11,8,12,,7,7,6,10,7,9,6,8,9,11,10,15,,2,1,0,5,0,3,1,0,4,4,3,2,,10,9,12,9,9,10,13,10,10,16,9,15,San Pedro,510
48,Talagante,Talagante,Metropolitana de Santiago,,Talagante,0,0,0,0,0,0,0,0,0,0,0,0,,8,8,9,9,9,17,8,20,33,30,51,8,,3,3,4,2,7,2,1,2,4,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,5,9,6,7,4,5,5,4,4,,0,0,0,0,1,0,1,0,0,0,0,0,,56,41,36,43,55,65,71,61,61,70,70,81,,10,3,6,2,4,6,6,10,9,7,9,9,,60,43,50,36,60,55,49,50,52,76,64,76,,87,83,61,69,105,84,92,85,80,72,96,58,,26,22,13,14,25,22,25,14,17,16,20,23,,52,49,49,61,60,70,80,66,51,75,54,74,Talagante,3.717
49,El Monte,Talagante,Metropolitana de Santiago,,El Monte,0,0,0,0,0,0,0,0,0,0,0,0,,29,23,25,12,15,13,20,27,20,16,20,26,,2,8,4,3,4,0,1,8,6,11,8,3,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,2,3,0,1,0,4,5,,0,0,0,1,0,0,0,0,1,0,0,0,,29,23,25,23,43,49,53,36,22,45,38,48,,6,3,3,3,4,5,2,6,1,2,3,6,,35,22,30,25,27,35,25,51,31,29,44,37,,58,42,56,107,83,49,51,44,22,44,34,27,,16,14,12,1,6,10,5,13,13,12,15,8,,16,15,21,21,10,17,18,13,26,29,20,24,El Monte,2.166
50,Isla de Maipo,Talagante,Metropolitana de Santiago,,Isla de Maipo,0,0,0,0,0,0,0,0,0,0,0,0,,51,20,40,55,50,68,78,115,153,133,138,73,,8,4,0,7,6,2,6,8,2,2,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,,18,18,17,20,26,39,40,31,34,38,30,29,,4,6,4,3,1,4,2,1,1,5,3,6,,25,18,7,19,22,31,26,23,26,35,22,20,,95,73,82,64,66,73,65,90,71,54,58,41,,9,9,15,4,12,4,4,11,7,7,5,13,,15,14,9,10,16,6,16,12,10,17,23,13,Isla de Maipo,2.777
51,Padre Hurtado,Talagante,Metropolitana de Santiago,,Padre Hurtado,0,0,0,0,0,0,0,0,0,0,0,0,,6,0,4,15,1,0,4,12,2,4,7,2,,0,1,4,1,4,0,2,1,5,2,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,4,1,2,3,2,4,2,2,7,,0,0,0,1,0,2,0,0,0,0,0,0,,47,48,34,55,68,72,84,80,79,81,97,100,,13,5,6,4,1,6,5,6,7,6,9,9,,34,45,50,35,54,68,51,58,47,57,57,59,,29,42,44,43,51,39,34,45,40,43,51,40,,12,15,12,16,14,21,13,13,17,15,16,18,,52,37,41,45,37,49,47,36,38,59,60,41,Padre Hurtado,2.879
52,Peñaflor,Talagante,Metropolitana de Santiago,,Peñaflor,0,0,0,0,0,0,0,0,0,0,0,0,,13,5,1,7,27,27,67,17,16,7,1,9,,1,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,2,1,3,0,2,2,5,0,2,,0,0,1,0,0,1,0,0,1,0,0,1,,57,35,50,31,74,65,88,89,84,80,88,79,,12,11,13,4,7,9,5,8,8,11,12,10,,52,57,52,43,59,63,55,48,46,60,58,77,,34,27,30,28,42,42,43,50,42,44,44,44,,16,13,15,17,21,17,17,30,22,20,26,27,,57,67,57,59,44,50,45,74,44,56,58,57,Peñaflor,3.202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Listado de delitos coherentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Abandono de armas,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,
-,Consumo alcohol vía pública,,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,
-,Ebriedad,,,,Unidad Territorial,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,
-,Hurtos,,,,TOTAL PAÍS,13,14,12,6,13,42,29,69,55,10,4,5,,6.172,4.946,5.889,4.015,4.723,4.865,5.377,7.064,9.153,8.614,7.498,6.265,,1.291,1.084,1.150,1.044,1.334,1.149,1.296,1.514,1.668,1.562,1.372,1.299,,0,0,0,0,0,0,0,0,0,0,0,0,,374,429,458,425,413,401,453,477,515,574,600,593,,243,209,230,181,218,214,256,265,284,297,296,307,,10.856,9.155,9.486,9.186,11.280,12.115,12.751,13.497,13.349,14.122,14.265,14.770,,1.540,1.439,1.624,1.281,1.453,1.454,1.462,1.780,1.742,1.937,2.197,1.771,,11.003,9.794,10.352,9.070,10.042,10.407,10.777,11.440,11.636,12.320,13.148,13.399,,15.662,13.910,15.266,13.969,15.140,14.196,14.539,15.116,15.155,15.577,15.220,15.283,,5.171,4.568,4.632,3.941,4.219,4.243,4.562,4.915,5.056,5.799,5.970,6.505,,14.884,15.404,16.460,14.399,13.341,13.948,15.854,17.213,17.129,19.541,19.134,20.698,,
-,Otros robos con fuerza,,,,Región Metropolitana,2,4,5,0,0,0,2,0,0,2,0,1,,2.317,1.724,2.228,1.156,1.314,1.205,1.499,2.002,2.953,2.450,1.997,1.128,,194,127,153,129,135,101,114,129,159,151,156,93,,0,0,0,0,0,0,0,0,0,0,0,0,,199,231,232,225,225,208,225,242,256,295,316,299,,54,49,71,51,64,58,74,76,79,86,87,83,,3.587,2.908,3.162,3.076,3.943,4.188,4.258,4.637,4.463,4.780,4.911,4.973,,559,472,615,439,497,521,501,663,635,705,779,686,,4.123,3.632,3.978,3.441,3.933,4.089,4.220,4.456,4.535,4.898,5.208,5.141,,3.839,3.269,3.973,3.288,4.093,3.884,3.865,4.361,4.171,4.421,4.782,5.044,,1.944,1.693,1.789,1.546,1.603,1.470,1.636,1.753,1.798,2.099,2.285,2.460,,8.154,8.335,8.927,7.494,7.022,7.239,7.995,8.710,8.790,10.128,9.841,10.765,,
-,Riña pública,,,,Provincia de Santiago,0,1,3,0,0,0,2,0,0,2,0,1,,1.761,1.470,1.840,827,1.029,922,1.149,1.565,2.350,1.917,1.459,846,,133,79,78,73,81,72,73,79,111,98,95,55,,0,0,0,0,0,0,0,0,0,0,0,0,,171,211,207,186,194,175,187,216,212,255,273,257,,34,43,49,46,53,44,62,65,69,68,71,66,,2.325,1.963,2.131,2.040,2.494,2.746,2.850,3.052,3.009,3.238,3.318,3.292,,378,308,415,277,358,339,354,472,449,509,548,480,,2.798,2.477,2.712,2.330,2.555,2.687,2.855,3.064,3.106,3.362,3.565,3.529,,2.580,2.231,2.856,2.257,2.923,2.763,2.731,3.137,3.005,3.042,3.491,3.776,,1.372,1.217,1.270,1.115,1.147,1.028,1.158,1.232,1.282,1.489,1.668,1.807,,6.530,6.733,7.099,5.897,5.463,5.721,6.390,7.036,7.100,8.230,8.068,8.689,,
-,Ruidos molestos,,,,Provincia de Cordillera,0,0,0,0,0,0,0,0,0,0,0,0,,213,79,135,95,93,91,89,100,216,183,180,85,,21,8,35,22,8,6,8,12,11,9,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,,12,7,8,13,9,9,11,7,18,10,15,8,,7,1,10,1,3,3,5,0,1,8,2,5,,386,278,322,341,383,428,377,439,442,437,461,463,,57,50,54,55,36,44,37,57,49,60,78,54,,387,369,391,355,420,427,412,434,433,434,511,511,,323,273,274,241,256,282,249,267,263,357,323,338,,156,127,128,129,113,110,137,130,145,156,172,191,,477,467,494,469,478,472,479,418,469,534,532,621,,
-,Violencia intrafamiliar ,,,,Provincia de Chacabuco,2,3,2,0,0,0,0,0,0,0,0,0,,52,40,59,30,38,22,15,67,46,42,51,20,,5,2,3,6,3,3,2,6,3,7,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,5,5,6,4,5,0,6,2,7,,7,3,6,1,3,3,3,6,5,4,7,7,,178,127,143,140,188,177,185,231,190,234,234,226,,25,19,41,29,32,35,20,32,37,30,42,41,,187,153,199,139,206,203,215,209,214,227,240,231,,144,125,136,107,149,126,153,142,157,200,149,176,,105,77,89,68,80,69,90,90,79,101,113,108,,262,232,294,249,261,230,236,290,280,262,291,312,,
-,Abusos y violaciones,,,,Provincia de Maipo,0,0,0,0,0,0,0,0,0,0,0,0,,102,45,66,77,22,29,46,63,85,97,63,40,,5,9,6,5,5,6,2,5,7,3,6,7,,0,0,0,0,0,0,0,0,0,0,0,0,,7,5,5,6,4,3,5,3,10,9,9,7,,2,1,4,1,2,4,2,3,1,1,5,2,,322,267,273,294,453,386,353,442,366,388,399,443,,39,52,50,41,33,47,52,47,47,56,42,43,,363,310,333,347,383,385,377,363,409,451,470,418,,321,254,322,260,294,300,317,342,334,408,386,391,,167,135,165,129,134,140,137,177,156,201,186,186,,538,538,680,546,505,475,527,591,570,626,563,766,,
-,Amenazas,,,,Provincia de Melipilla,0,0,0,0,0,0,0,0,0,0,0,0,,82,34,49,29,30,16,23,16,32,21,27,19,,16,13,19,10,17,9,18,8,10,17,24,15,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,3,2,0,2,5,2,3,3,6,2,,4,1,1,0,2,1,1,2,1,4,2,2,,169,108,131,89,159,161,157,176,176,169,176,212,,15,15,23,21,21,26,18,24,27,19,33,28,,182,138,154,112,147,135,155,156,171,167,177,183,,168,119,112,112,124,126,130,159,157,157,150,153,,65,64,70,53,51,49,50,43,60,82,64,79,,155,183,183,137,148,149,157,174,202,240,172,168,,
X,Homicidios,,,,Provincia de Talagante,0,0,0,0,0,0,0,0,0,0,0,0,,107,56,79,98,102,125,177,191,224,190,217,118,,14,16,12,13,21,5,11,19,17,17,18,8,,0,0,0,0,0,0,0,0,0,0,0,0,,6,5,7,13,13,13,13,9,13,12,11,18,,0,0,1,2,1,3,1,0,2,1,0,1,,207,165,162,172,266,290,336,297,280,314,323,337,,45,28,32,16,17,30,20,31,26,31,36,40,,206,185,189,158,222,252,206,230,202,257,245,269,,303,267,273,311,347,287,285,314,255,257,283,210,,79,73,67,52,78,74,64,81,76,70,82,89,,192,182,177,196,167,192,206,201,169,236,215,209,,
-,Daños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Lesiones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Robo y receptación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,